2024-03-26 19-27-02 | Initializing librouter...
2024-03-26 19-27-02 | Getting modules...
2024-03-26 19-27-02 | Loading settings...
2024-03-26 19-27-02 | Loading pairs...
2024-03-26 19-27-02 | Loading filter rules...
2024-03-26 19-27-02 | *** LoadFilterRules: No rules loaded
2024-03-26 19-27-02 | Loading IP exclusions...
2024-03-26 19-27-02 | Setting up user interface...
2024-03-26 19-27-02 | Loading port list...
2024-03-26 19-27-02 | Loading IP range list...
2024-03-26 19-27-02 | Initialization done
2024-03-26 19-27-06 | Closing, saving settings...
2024-03-26 19-27-06 | Normal program termination
